cancer_site,period,age,HSCT,sex,prevalence
All Cancers,10-year,0-54,Belfast HSCT,Male,751.1343499063107
All Cancers,10-year,0-54,Northern HSCT,Male,1157.0619255880306
All Cancers,10-year,0-54,South Eastern HSCT,Male,944.1182832502565
All Cancers,10-year,0-54,Southern HSCT,Male,810.7729984661843
All Cancers,10-year,0-54,Western HSCT,Male,699.7922068920648
All Cancers,10-year,55-64,Belfast HSCT,Male,1094.249353198375
All Cancers,10-year,55-64,Northern HSCT,Male,1685.6029335405733
All Cancers,10-year,55-64,South Eastern HSCT,Male,1375.3875334262273
All Cancers,10-year,55-64,Southern HSCT,Male,1181.1306849074185
All Cancers,10-year,55-64,Western HSCT,Male,1019.4543357795012
All Cancers,10-year,65-74,Belfast HSCT,Male,1890.1453191889489
All Cancers,10-year,65-74,Northern HSCT,Male,2911.6165209789106
All Cancers,10-year,65-74,South Eastern HSCT,Male,2375.7677359167
All Cancers,10-year,65-74,Southern HSCT,Male,2040.219287224441
All Cancers,10-year,65-74,Western HSCT,Male,1760.9485765454913
All Cancers,10-year,75+,Belfast HSCT,Male,2511.6431425127585
All Cancers,10-year,75+,Northern HSCT,Male,3868.9838259004755
All Cancers,10-year,75+,South Eastern HSCT,Male,3156.9428453674054
All Cancers,10-year,75+,Southern HSCT,Male,2711.0628637687737
All Cancers,10-year,75+,Western HSCT,Male,2339.9652776411485
All Cancers,10-year,0-54,Belfast HSCT,Female,1386.9249837785135
All Cancers,10-year,0-54,Northern HSCT,Female,1947.5791526020353
All Cancers,10-year,0-54,South Eastern HSCT,Female,1600.12274420697
All Cancers,10-year,0-54,Southern HSCT,Female,1419.0393208692917
All Cancers,10-year,0-54,Western HSCT,Female,1139.126615000637
All Cancers,10-year,55-64,Belfast HSCT,Female,1379.3360441902416
All Cancers,10-year,55-64,Northern HSCT,Female,1936.922440302998
All Cancers,10-year,55-64,South Eastern HSCT,Female,1591.367234729793
All Cancers,10-year,55-64,Southern HSCT,Female,1411.2746588973655
All Cancers,10-year,55-64,Western HSCT,Female,1132.893571998498
All Cancers,10-year,65-74,Belfast HSCT,Female,1598.1196196374863
All Cancers,10-year,65-74,Northern HSCT,Female,2244.1476582898667
All Cancers,10-year,65-74,South Eastern HSCT,Female,1843.7821664864512
All Cancers,10-year,65-74,Southern HSCT,Female,1635.1241820880107
All Cancers,10-year,65-74,Western HSCT,Female,1312.5876409869877
All Cancers,10-year,75+,Belfast HSCT,Female,2329.804453599379
All Cancers,10-year,75+,Northern HSCT,Female,3271.610675804326
All Cancers,10-year,75+,South Eastern HSCT,Female,2687.9414094932777
All Cancers,10-year,75+,Southern HSCT,Female,2383.751225381259
All Cancers,10-year,75+,Western HSCT,Female,1913.5442016566153
Bladder Cancer,10-year,0-54,Belfast HSCT,Male,5.4375
Bladder Cancer,10-year,0-54,Northern HSCT,Male,7.891927083333333
Bladder Cancer,10-year,0-54,South Eastern HSCT,Male,6.419270833333335
Bladder Cancer,10-year,0-54,Southern HSCT,Male,4.115885416666667
Bladder Cancer,10-year,0-54,Western HSCT,Male,5.135416666666667
Bladder Cancer,10-year,55-64,Belfast HSCT,Male,19.500000000000004
Bladder Cancer,10-year,55-64,Northern HSCT,Male,28.302083333333336
Bladder Cancer,10-year,55-64,South Eastern HSCT,Male,23.020833333333336
Bladder Cancer,10-year,55-64,Southern HSCT,Male,14.760416666666668
Bladder Cancer,10-year,55-64,Western HSCT,Male,18.416666666666668
Bladder Cancer,10-year,65-74,Belfast HSCT,Male,40.5
Bladder Cancer,10-year,65-74,Northern HSCT,Male,58.78124999999999
Bladder Cancer,10-year,65-74,South Eastern HSCT,Male,47.8125
Bladder Cancer,10-year,65-74,Southern HSCT,Male,30.656249999999996
Bladder Cancer,10-year,65-74,Western HSCT,Male,38.24999999999999
Bladder Cancer,10-year,75+,Belfast HSCT,Male,78.5625
Bladder Cancer,10-year,75+,Northern HSCT,Male,114.02473958333333
Bladder Cancer,10-year,75+,South Eastern HSCT,Male,92.74739583333334
Bladder Cancer,10-year,75+,Southern HSCT,Male,59.467447916666664
Bladder Cancer,10-year,75+,Western HSCT,Male,74.19791666666667
Bladder Cancer,10-year,0-54,Belfast HSCT,Female,3.0574712643678166
Bladder Cancer,10-year,0-54,Northern HSCT,Female,3.3256704980842913
Bladder Cancer,10-year,0-54,South Eastern HSCT,Female,3.0574712643678166
Bladder Cancer,10-year,0-54,Southern HSCT,Female,2.574712643678161
Bladder Cancer,10-year,0-54,Western HSCT,Female,1.9846743295019156
Bladder Cancer,10-year,55-64,Belfast HSCT,Female,9.60919540229885
Bladder Cancer,10-year,55-64,Northern HSCT,Female,10.452107279693486
Bladder Cancer,10-year,55-64,South Eastern HSCT,Female,9.60919540229885
Bladder Cancer,10-year,55-64,Southern HSCT,Female,8.091954022988505
Bladder Cancer,10-year,55-64,Western HSCT,Female,6.237547892720306
Bladder Cancer,10-year,65-74,Belfast HSCT,Female,15.942528735632186
Bladder Cancer,10-year,65-74,Northern HSCT,Female,17.340996168582375
Bladder Cancer,10-year,65-74,South Eastern HSCT,Female,15.942528735632186
Bladder Cancer,10-year,65-74,Southern HSCT,Female,13.425287356321839
Bladder Cancer,10-year,65-74,Western HSCT,Female,10.348659003831417
Bladder Cancer,10-year,75+,Belfast HSCT,Female,28.390804597701155
Bladder Cancer,10-year,75+,Northern HSCT,Female,30.881226053639846
Bladder Cancer,10-year,75+,South Eastern HSCT,Female,28.390804597701155
Bladder Cancer,10-year,75+,Southern HSCT,Female,23.908045977011493
Bladder Cancer,10-year,75+,Western HSCT,Female,18.42911877394636
Blood Leukaemia,10-year,0-54,Belfast HSCT,Male,44.74673008323424
Blood Leukaemia,10-year,0-54,Northern HSCT,Male,67.27229488703924
Blood Leukaemia,10-year,0-54,South Eastern HSCT,Male,53.87871581450654
Blood Leukaemia,10-year,0-54,Southern HSCT,Male,51.139120095124845
Blood Leukaemia,10-year,0-54,Western HSCT,Male,38.96313912009513
